Data-hora	eH	PH	BP	PH-S	BT	Nome	Categoria	Chamada?	Bonde?	Chuva?	🗺️	📝	🎨	Post IG	Rota	Ativ. Strava	Ativ. RWGPS	Horário	Partida	Chegada	# presentes	# novos	# strava	kJ anunc.	kJ med.	% Mov	Tempo Total	Tempo Mov	Potência Média	Quilojaules Ag. Total	litros gasolina ag total	Tempo Ag. Total	Tempo Ag. Mov	#midias
2025-09-09 20:00	61	54	-	-	-	1 ano	regular	sim	não	não	dandan	anaju	lume	https://www.instagram.com/p/DOTyz43DjpV/?img_index=1	https://ridewithgps.com/routes/49272936	https://www.strava.com/activities/15759615775	https://ridewithgps.com/trips/330379448	20:00	20:36	23:19	57	20	15	183	187	38%	2:43	1:02	49	10,431	0.32	154:51	58:54	213
2025-09-16 20:00	62	55	-	-	-	Ilhota da Guapira e Alto da Cangaíba	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DOoaZqEjqKg/	https://ridewithgps.com/routes/52653389	https://www.strava.com/activities/15838413153	https://ridewithgps.com/trips/333090201	20:00	20:26	23:34	9	3	4	400	430	63%	3:08	1:58	56	3,600	0.11	28:12	17:42	201
2025-09-21 08:30	63	56	-	6	-	O Trem e o Meteoro	especial	sim	não	não	dandan	dandan	dandan	https://www.instagram.com/p/DOzM8syATYo/	https://ridewithgps.com/routes/52515917	https://www.strava.com/activities/15892922596	https://ridewithgps.com/trips/335069883	08:30	09:21	17:25	16	4	11	801	840	46%	8:04	3:44	60	12,816	0.39	129:04	59:44	466
2025-09-24 20:00	64	57	-	-	-	Os Três Sopés e a Ilhota de São João	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DO88VWtDtJj/	https://ridewithgps.com/routes/52776083	https://www.strava.com/activities/15916671235	https://ridewithgps.com/trips/335750323	20:00	20:28	23:07	8	0	5	343	406	65%	2:39	1:44	55	2,744	0.08	21:12	13:52	179
2025-09-30 20:30	65	58	-	-	-	Rampa do Sapateiro, Uberaba e Traição	regular	não	não	não		n/a	n/a	n/a	https://ridewithgps.com/routes/52165449	https://www.strava.com/activities/15994354843	n/a	20:30	21:08	23:34	7	2	4	358		55%	2:26	1:20	75	2,506	0.08	17:02	9:20	31
2025-10-07 20:00	66	59	-	-	-	Bico do Caaguaçu	regular	sim	não	sim	gmard	gmard	gmard	https://www.instagram.com/p/DPhFHJSDthY/	https://ridewithgps.com/routes/52939892	https://www.strava.com/activities/16070021126	n/a	20:00	20:17	22:56	6	1	5	387		57%	2:39	1:30	72	2,322	0.07	15:54	9:00	12
2025-10-17 17:00	67	61	-	-	-	Oakland: Lake Merritt Up and down stream with a diversion by the Sausal Canyon	especial	sim	não	não	dandan, delaram	dandan	dandan	https://www.instagram.com/p/DPzHuRhAVjW/	https://ridewithgps.com/routes/52981759	https://www.strava.com/activities/16176020618	https://ridewithgps.com/trips/344028067	17:00	17:39	22:13	36	33	9	416	707	45%	4:34	2:03	56	14,976	0.45	164:24	73:48	165
2025-10-21 20:00	68	60	-	-	-	Águas Meridionais da Colina Histórica	regular	sim	não	não	alef	gmard	Zito	https://www.instagram.com/p/DQFZDYmAaCC/	https://ridewithgps.com/routes/51282559	https://www.strava.com/activities/16224182565	n/a	20:00	20:21	23:53	10	0	2	340		52%	3:32	1:50	52	3,400	0.10	35:20	18:20	55
2025-10-26 07:30	69	62	-	-	-	Cubatão e a Foz dos Pilões	especial	sim	não	não	ericalatina	ericalatina	dandan	https://www.instagram.com/p/DQPNof-DnxY/?img_index=1	https://ridewithgps.com/routes/53123125	https://www.strava.com/activities/16267677209		07:30	07:38	17:38	40	25	6	694		46%	10:00	4:38	42	27,760	0.84	400:00	185:20	110
2025-10-28 20:00	70	63	-	-	-	O arco das cumeeiras do Caaguaçu	regular	sim	não	sim	fetiche, gmard	fetiche, gmard	fetiche, gmard	https://www.instagram.com/p/DQW54WjjobD/	https://ridewithgps.com/routes/53113256	https://www.strava.com/activities/16288475465	https://ridewithgps.com/trips/346950672	20:00	20:29	23:41	5	0	4	392	428	74%	3:12	2:22	46	1,960	0.06	16:00	11:50	36
2025-11-04 20:00	71	64	-	-	-	Pontes da Ponte Rasa via Várzea do Carandiru e Baixo Cangaíba	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DQndVvpji_q/	https://ridewithgps.com/routes/53205838	https://www.strava.com/activities/16359358168	https://ridewithgps.com/trips/348691077	20:00	20:24	23:24	5	0	5	390	586	73%	3:00	2:12	49	1,950	0.06	15:00	11:00	159
2025-11-11 20:00	72	65	-	-	-	Pelos Alpes do Jaraguá ao Subir Rio Pirituba e descer Rio Perus	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DQ5DpR3DkW4/	https://ridewithgps.com/routes/50150417	https://www.strava.com/activities/16431428223	https://ridewithgps.com/trips/350404430	20:00	20:21	22:17	9	1		306	324	70%	1:56	1:21	63	2,754	0.08	17:24	12:09	135
2025-11-25 20:00	73	66	-	-	-	Marcos das antigas rotas de SP (seus relevos e relevâncias)	regular	sim	não	não	gmard	gmard	gmard	https://www.instagram.com/p/DRfuROkgcc5/?img_index=1	https://ridewithgps.com/routes/53386705	https://www.strava.com/activities/16568405964	https://ridewithgps.com/trips/353457418	20:00	20:27	22:59	12	3		267	215	57%	2:32	1:26	52	3,204	0.10	30:24	17:12	37
2025-11-30 08:00	74	67	-	-	-	Recosturando Tietê e Paraíba do Sul	especial	sim	não	não	andrio, gmard	andrio, gmard	andrio, gmard	https://www.instagram.com/p/DRnmMqYgSxz/	https://ridewithgps.com/routes/53380438	https://www.strava.com/activities/16613940507	https://ridewithgps.com/trips/354403157	08:00	09:31	17:59	11	3		918	856	39%	8:28	3:18	77	10,098	0.31	93:08	36:18	100
2025-12-03 20:00	75	68	-	-	-	Contornando Capão do Embira e Tatuapé pela Crista de Sapopemba e Vila Formosa	regular	sim	sim		fetiche, giucuci	fetiche, giucuci	fetiche, giucuci	https://www.instagram.com/p/DRzyPXPDuLA/	https://ridewithgps.com/routes/53428447	https://www.strava.com/activities/16646323675	https://ridewithgps.com/trips/354892806	20:00	20:26	22:18	8	2		297	263	79%	1:52	1:28	56	2,376	0.07	14:56	11:44	23
2025-12-10 20:00	76	69	-	-	-	Tiburtino e córrego das corujas	regular	sim	não	não	lume	lume	lume	https://www.instagram.com/p/DSGJhd9geOh/	https://ridewithgps.com/routes/54149967	https://www.strava.com/activities/16716538608	https://ridewithgps.com/trips/355953360	20:00	20:20	22:41	7	3		287	215	61%	2:21	1:26	56	2,009	0.06	16:27	10:02	12
2025-12-17 20:00	77	70	-	-	-	Cabeçeiras do Ipiranga ou Desmorrodouro do Caaguaçu	regular	sim	não	não	dandan	alef	dandan	https://www.instagram.com/p/DSVgvNRAQu9/	https://ridewithgps.com/routes/53524909	https://www.strava.com/activities/16773001621	https://ridewithgps.com/trips/356838976	20:00	20:58	23:23	6	1		275	303	57%	2:25	1:22	56	1,650	0.05	14:30	8:12	64
